Pengeluaran,Jumlah,Kategori,Urgensi
Pembayaran listrik,250000,Tagihan,1
Pembayaran internet,300000,Tagihan,1
Belanja kebutuhan rumah,150000,Kebutuhan,2
Makan,300000,Makan,2
bensin,200000,Transportasi,2
Jasa pembersih rumah,120000,Servis,3
Asuransi mobil,500000,Asuransi,2
Asuransi,500000,Asuransi,2
Belanja pakaian,200000,Kebutuhan,2
Pajak kendaraan,350000,Tagihan,1
Pajak,350000,Tagihan,1
Pengeluaran untuk anak,100000,Pendidikan,1
Perawatan kendaraan,150000,Servis,2
Pembayaran kartu kredit,700000,Tagihan,1
Kebutuhan medis,250000,Kesehatan,1
Makan di restoran cepat saji,80000,Restoran,2
Pengeluaran liburan,500000,Liburan,3
Jasa perbaikan elektronik,200000,Servis,2
Belanja alat tulis kantor,100000,Belanja,3
Pembelian buku,150000,Pendidikan,1
Kebutuhan dapur,250000,Kebutuhan,3
Pembayaran kuliah,300000,Pendidikan,1
Pembelian gadget,1000000,Elektronik,3
Biaya parkir,50000,Transportasi,3
Kebutuhan bayi,200000,Kebutuhan,2
Pengeluaran untuk hobi,150000,Hobi,3
Biaya langganan streaming,150000,Hiburan,3
Pengeluaran untuk hewan peliharaan,100000,Belanja,3
Les,200000,Pendidikan,1
Pengeluaran listrik tambahan,100000,Tagihan,1
Jasa kesehatan,200000,Kesehatan,1
Membeli obat,50000,Kesehatan,1
Jasa perawatan rumah,250000,Servis,2
Biaya gym,300000,Hobi,3
Belanja online,350000,Belanja,3
Pajak tahunan,600000,Tagihan,1
Pembelian furniture,500000,Belanja,3
Kebutuhan sekolah anak,400000,Pendidikan,1
Pengeluaran untuk transportasi online,150000,Transportasi,2
Biaya renovasi rumah,1000000,Renovasi,2
Belanja bahan makanan,300000,Makan,2
Beli tiket pesawat,800000,Liburan,3
Pembayaran cicilan,350000,Tagihan,1
Biaya pendidikan privat,250000,Pendidikan,1
Kebutuhan untuk pesta,150000,Hiburan,3
Pembelian peralatan dapur,300000,Kebutuhan,2
Belanja obat-obatan,100000,Kesehatan,1
Bensin kendaraan,180000,Transportasi,2
